cpu,memory,errors,response_time,failure
1433,62.3,20,308.3,1
1318,59.1,22,308.3,0
1610,35,24,308.2,0
1462,50.8,27,308.1,0
1924,20.8,29,308,0
1591,33.7,32,308,0
1306,58.3,35,308.1,0
1382,43.5,37,308.1,0
1618,34.7,39,308.1,0
1988,21.4,41,308.2,0
1436,50.2,43,308.2,0
1304,49.8,45,308.3,0
1475,49.9,47,308.3,0
1824,24.2,49,308.3,0
1342,48.1,54,308.2,0
1485,40.7,57,308.2,0
1667,30.6,59,308.2,0
1446,38.2,61,308.2,0
1301,56,63,308.3,0
1379,43.1,65,308.4,0
1606,33.6,67,308.5,0
1539,43.4,69,308.4,0
1477,49.9,72,308.4,0
1666,34.6,74,308.4,0
1398,51.8,76,308.4,0
1678,34.6,81,308.4,0
2678,10.7,86,308.5,1
1453,42.9,89,308.5,0
1432,49.5,91,308.6,0
1527,40.9,96,308.6,0
1588,35,99,308.7,0
1433,47.1,101,308.6,0
1609,35,103,308.6,0
1575,41.2,105,308.5,0
1636,35.7,107,308.5,0
1490,37.9,110,308.5,0
1741,32.8,112,308.5,0
1344,53,114,308.6,0
1609,35.3,117,308.7,0
1421,60.7,119,308.7,1
1591,36.7,122,308.6,0
1477,44,124,308.6,0
1523,36.1,126,308.7,0
1575,33.9,128,308.7,0
1344,52.9,130,308.7,0
1386,44.9,135,308.7,0
1589,37.1,137,308.6,0
1548,40.3,140,308.6,0
1499,38.3,142,308.6,0
1664,31.6,144,308.5,0
1447,38.1,146,308.6,0
1434,46.2,148,308.5,0
1416,52.7,151,308.5,0
1827,24.3,153,308.5,0
1304,45,158,308.6,0
1569,34.4,160,308.6,0
1584,29.3,162,308.6,0
1362,53.8,164,308.5,0
1329,49.2,166,308.4,0
1539,36.1,168,308.5,0
1629,37.1,170,308.5,0
1538,32.2,173,308.5,0
1570,34.8,175,308.6,0
1408,43.1,177,308.4,0
1424,47.6,179,308.4,0
1512,34.9,181,308.4,0
1478,42.9,183,308.4,0
1680,33.7,185,308.3,0
1495,38.7,188,308.3,0
1552,36.6,190,308.1,0
1393,50.3,193,308.1,0
1611,30.6,195,308.2,0
1339,51.6,197,308.1,0
1777,24.3,200,308.1,0
1348,58.8,202,308.2,1
1442,44.1,204,308.2,0
1395,49.1,206,308.2,0
1627,31.4,209,308.1,0
1585,33.5,212,308.1,0
1469,45.5,214,308.2,0
1362,56.8,216,308.3,1
1405,56.2,218,308.3,1
1662,32.7,0,308.3,0
1466,42.6,2,308.2,0
1620,35.8,5,308.2,0
1357,48.2,7,308.2,0
1514,37.9,9,308.2,0
1489,40.4,11,308.2,0
1331,63,13,308.3,0
1615,29.5,15,308,0
1482,37.9,17,308.2,0
1420,63.9,19,308.2,1
1522,49.1,22,308.3,0
1654,32.1,25,308.2,0
1736,26.8,27,308.2,0
1587,32.3,30,308.1,0
1390,47.5,33,308.2,0
1454,37.1,35,308.1,0
1440,43.7,37,308.1,0
1954,21.1,42,308,0
1800,24.8,44,308,0
1524,37,49,308,0
1520,39.6,51,308,0
1452,40.8,56,308.1,0
1484,40.4,59,308.1,0
1426,46,61,308,0
1652,28.5,63,308,0
1401,54.7,65,308,0
1750,26.6,67,307.9,0
1479,50.7,70,308,0
1620,29.4,75,308,0
1819,23.4,78,308.1,0
1456,43.7,80,308.1,0
1626,36.5,83,308,0
1390,49.8,85,308.1,0
1469,43,88,308.2,0
2051,19.2,90,308.3,0
1568,36,92,308.3,0
1589,33.2,94,308.3,0
1805,31.6,96,308.3,0
1385,42.2,98,308.4,0
1436,46.7,103,308.4,0
1438,45.6,105,308.4,0
1473,42.6,107,308.3,0
1335,40.2,109,308.4,0
1392,44.8,111,308.5,0
1372,51.1,116,308.5,0
1716,30.7,119,308.6,0
1395,46.2,122,308.5,0
1713,25.3,124,308.5,0
2129,18.7,126,308.5,0
1567,35.6,131,308.3,0
1622,38.3,134,308.4,0
1740,27.1,136,308.4,0
1512,35.1,138,308.4,0
1479,43.5,143,308.4,0
1737,27.5,146,308.4,0
2129,19.2,148,308.4,0
1374,47.1,150,308.4,0
1579,36.6,152,308.4,0
1305,47.2,155,308.5,0
1449,40.8,157,308.5,0
1526,41.8,160,308.6,0
1453,44.1,165,308.6,0
1468,36,168,308.6,0
1313,50.8,170,308.6,0
1300,53,172,308.5,0
1646,40.6,175,308.4,0
1714,33.2,177,308.4,0
1685,28.4,179,308.4,0
1512,39.9,181,308.4,0
1612,32.1,183,308.4,0
1550,38.2,185,308.4,0
1518,32.5,190,308.4,0
1448,40,192,308.5,0
1561,46.3,194,308.5,0
1488,41.9,196,308.5,0
1699,27.8,199,308.5,0
1501,41.4,201,308.5,0
1373,56.7,203,308.5,1
1703,31.4,205,308.4,0
1720,29.9,210,308.5,0
1398,41.9,215,308.4,0
1391,51.9,218,308.4,0
1538,40.2,0,308.3,0
1647,31.3,3,308.2,0
1469,44.8,5,308.1,0
1749,25.9,8,308.1,0
1995,20.5,10,308.2,0
1742,27.7,13,308.3,0
1563,38.2,15,308.2,0
1713,32.2,17,308.2,0
1474,39.4,20,308.1,0
1530,32.6,22,308.2,0
1471,46.5,25,308.2,0
1388,48.6,27,308.3,0
2448,13.8,29,308.2,0
1585,32.9,32,308.3,0
1459,45.2,34,308.3,0
1544,40.8,37,308.3,0
1617,31.7,39,308.3,0
1595,34.3,41,308.3,0
1400,44.3,43,308.3,0
1611,31,48,308.4,0
1507,46,51,308.4,0
1674,30,54,308.3,0
1658,34.3,59,308.3,0
1623,36.9,61,308.3,0
1398,48.9,63,308.4,0
1517,34.2,66,308.4,0
1467,36.7,68,308.3,0
1567,34.6,71,308.3,0
1521,38.2,74,308.3,0
1596,36.8,77,308.3,0
1640,30.9,79,308.3,0
1438,47.8,84,308.3,0
1407,55.2,86,308.4,0
1353,57.5,88,308.4,0
1552,40.9,90,308.5,0
1569,38.3,93,308.4,0
1489,39.5,96,308.4,0
1587,36.1,98,308.4,0
1622,37.2,103,308.3,0
1604,38.1,106,308.4,0
1405,51.7,108,308.3,0
1412,42,111,308.3,0
1431,43,113,308.3,0
1533,37.4,115,308.2,0
1401,51.9,117,308.2,0
1424,53.9,120,308.2,0
1754,29.4,123,308.2,0
1754,26.8,125,308.2,0
2564,12.8,127,308.3,1
1546,40.4,129,308.5,0
1335,48,131,308.5,0
1842,27,133,308.6,0
1712,26.8,136,308.5,0
1414,45.4,138,308.6,0
1319,50.9,141,308.7,0
1249,60.4,143,308.7,0
1455,48.2,145,308.7,0
1408,54.8,147,308.7,0
1460,46.7,150,308.7,0
1491,38.1,152,308.6,0
1490,43.4,154,308.5,0
1350,52.2,157,308.4,0
1528,39.9,160,308.4,0
1571,37.7,162,308.3,0
1490,42.6,164,308.3,0
1774,28.9,166,308.3,0
1502,43.6,169,308.3,0
1392,49.7,174,308.4,0
2100,16.9,176,308.5,0
1722,30.4,178,308.5,0
1678,32.3,180,308.6,0
1273,59.8,182,308.6,0
1297,45.9,184,308.6,0
1350,57.6,186,308.5,0
1439,51.9,188,308.6,0
1600,42.1,190,308.5,0
1434,44.4,193,308.6,0
1459,41.3,196,308.6,0
1472,44.9,198,308.6,0
1429,44.3,201,308.7,0
1388,48.2,203,308.6,0
1573,34.5,205,308.4,0
1588,32.5,207,308.4,0
1511,42.8,209,308.4,0
1495,37.8,211,308.5,0
1394,50.1,213,308.4,0
2151,17.7,0,308.4,0
1501,38.2,2,308.3,0
1301,39.6,5,308.3,0
1657,31.1,8,308.3,0
1333,55.2,11,308.3,0
1484,43.9,13,308.3,0
1430,45.7,15,308.4,0
1665,28.9,17,308.4,0
1501,44.9,20,308.5,0
1496,42.2,22,308.5,0
1595,36.9,25,308.6,0
1208,62.3,28,308.6,0
1596,37.1,30,308.6,0
1446,41.9,32,308.5,0
1466,39.7,34,308.5,0
1848,23.7,37,308.5,0
1484,44.7,40,308.5,0
1493,41.2,43,308.3,0
1504,36.3,45,308.3,0
1538,38.5,47,308.3,0
1341,52.2,49,308.4,0
1535,34.6,51,308.3,0
1389,39.2,54,308.5,0
1393,46.6,56,308.5,0
1399,61.5,61,308.5,1
1469,45.1,63,308.5,0
1582,37.2,68,308.4,0
1793,26.7,70,308.6,0
1452,39,72,308.6,0
1376,59.9,74,308.7,0
1552,44.9,77,308.6,0
1622,37.9,79,308.7,0
1419,41.7,81,308.7,0
1440,46.1,84,308.6,0
1643,31,89,308.6,0
1510,36.2,92,308.7,0
1468,46.6,94,308.7,0
1429,57.4,96,308.7,0
1478,47.6,98,308.7,0
1276,53.6,103,308.6,0
1486,42.6,105,308.6,0
1476,42.3,107,308.6,0
1431,42,109,308.6,0
1402,40.2,114,308.7,0
1433,43.4,116,308.7,0
2874,4.2,118,308.7,1
1511,35.7,120,308.6,0
1456,42.9,122,308.6,0
1550,41.5,125,308.5,0
2182,16.5,127,308.5,0
1619,31.6,129,308.7,0
1586,32.7,131,308.8,0
1499,44.2,134,308.8,0
1419,42.4,139,308.8,0
1497,41.8,144,309,0
1520,37,147,309,0
1478,49.8,150,309.1,0
1380,41.1,152,309.1,0
1570,37.9,154,309,0
1468,41.4,156,309,0
1833,22.6,161,309,0
1323,57.3,163,308.9,0
1583,32,166,309,0
1556,39.5,168,309,0
1548,37.4,171,309,0
1324,56.9,173,309,0
1568,33.7,175,309,0
1685,30.7,177,309,0
1582,35.9,180,309.1,0
1463,35,183,309.1,0
1584,42.8,186,309.2,0
1347,55.8,188,309.2,0
1459,37.9,191,309.2,0
1420,45.6,193,309.2,0
1404,43.5,195,309.3,0
1470,38.8,197,309.3,0
1326,49.8,199,309.4,0
1459,49.7,201,309.3,0
1530,40,206,309.2,0
1505,39.2,209,309,0
1611,30.2,211,309.1,0
1515,35.1,213,309.1,0
1804,27.4,215,309.2,0
1464,46.2,218,309.3,0
1390,43.3,221,309.2,0
1442,48.1,0,309.2,0
1529,41.9,3,309.3,0
1610,35,6,309.3,0
1543,34.3,8,309.3,0
1445,48.2,10,309.4,0
1893,24.6,15,309.3,0
1415,41.3,17,309.3,0
1564,37.5,20,309.3,0
1479,39.4,22,309.3,0
1426,44.8,24,309.2,0
1428,38.8,26,309.2,0
1620,33.2,28,309.2,0
1715,28,30,309.2,0
1732,29.9,32,309.3,0
1391,58.2,34,309.4,0
1924,20.6,37,309.5,0
2027,19.8,39,309.5,0
1617,36.2,42,309.5,0
1497,35.8,44,309.4,0
1448,43.7,46,309.5,0
1401,45.9,49,309.4,0
1620,35.4,51,309.4,0
1466,45.5,53,309.4,0
1373,50.6,55,309.5,0
1592,35.8,57,309.6,0
1553,42.4,60,309.5,0
1569,36.2,63,309.5,0
1709,32.2,65,309.5,0
1549,34.9,68,309.5,0
1443,45.4,70,309.4,0
1675,29.8,72,309.3,0
1623,33.4,74,309.3,0
1365,52.4,76,309.3,0
1759,24.8,81,309.3,0
1516,43,83,309.3,0
1499,36.8,88,309.3,0
1775,25.8,91,309.3,0
1473,45.5,94,309.4,0
1296,52.3,96,309.4,0
1803,24.7,98,309.4,0
1563,36.1,100,309.3,0
1831,26.6,105,309.4,0
1958,22.1,108,309.4,0
1809,24.3,110,309.4,0
1482,39.3,112,309.4,0
1332,53.2,115,309.3,0
1437,40.4,117,309.2,0
1698,29.4,119,309.2,0
1274,54.3,121,309.2,0
1622,35,123,309.3,0
1564,36,126,309.3,0
1368,45.3,129,309.4,0
1539,42.2,134,309.4,0
1357,50.1,137,309.4,0
1433,48.3,139,309.4,0
1650,34.6,142,309.4,0
1503,40.6,144,309.4,0
1318,58.2,146,309.4,0
1678,34.4,148,309.4,0
1574,30.9,151,309.5,0
1529,35.2,153,309.6,0
1669,32.1,155,309.6,0
1570,35.8,160,309.7,0
1541,33.7,165,309.7,0
1680,30.2,168,309.7,0
1935,22.1,171,309.7,0
1596,35.2,173,309.6,0
1498,41,176,309.7,0
1676,29,178,309.8,0
1351,49,181,309.9,0
1472,45,183,309.9,0
1439,41.7,185,310,0
1410,55.4,188,309.9,0
1440,51.1,191,309.7,0
1591,37.7,196,309.7,0
1533,36.8,198,309.8,0
1700,31.3,200,309.7,0
1798,25.5,203,309.8,0
1394,42.9,206,309.7,0
1341,49.2,208,309.7,0
1697,32.2,210,309.6,0
1419,48.2,215,309.6,0
2001,20.5,220,309.5,0
1501,49.8,222,309.6,1
1623,33.1,224,309.5,0
1628,33.4,229,309.4,0
1491,40.2,231,309.4,0
1517,36.7,233,309.4,0
1525,41.7,235,309.3,0
1668,27.9,240,309.5,0
1312,50.7,0,309.6,0
1278,50.4,2,309.6,0
1330,53.1,7,309.6,0
1530,37.3,10,309.6,0
1428,46.6,13,309.6,0
1480,47.9,18,309.6,0
1616,31.1,20,309.7,0
1547,37.3,25,309.7,0
2194,16.8,27,309.7,0
2000,21.3,29,309.8,0
1336,71.6,31,309.8,1
1542,33.8,33,309.9,0
1693,29.9,35,309.8,0
1461,50.5,38,309.8,0
1565,33.9,40,309.9,0
1403,47.7,43,309.9,0
1629,32.5,45,309.9,0
1534,33.7,47,310,0
1553,40.9,49,310,0
1563,32.8,51,309.9,0
1634,30,53,309.9,0
1445,45.2,55,309.9,0
1642,30.4,58,309.9,0
1686,29.1,60,309.9,0
1393,43.1,65,310,0
1433,44.2,68,310,0
1507,44.7,73,310,0
1389,49.6,75,310.1,0
1408,45.3,78,310.1,0
1725,32,80,310.2,0
1926,23.7,83,310.1,0
1509,37.6,85,310.1,0
1545,36.3,90,310.1,0
1533,35.2,92,310.1,0
1455,42.2,94,310.1,0
1335,57.8,96,310.1,0
1523,45.9,99,310.1,0
1460,47.6,101,310,0
1554,37.3,103,310,0
1419,47.1,105,310,0
1442,43.9,110,310,0
1507,41.6,112,309.9,0
1858,23.9,114,310,0
1463,43.9,116,309.9,0
1585,37.4,118,309.7,0
1536,37.3,120,309.6,0
1403,51.3,122,309.6,0
1515,38.8,124,309.6,0
1390,47.9,127,309.5,0
1226,58.7,129,309.4,0
1495,36.5,132,309.4,0
1608,30.2,135,309.4,0
1392,44.1,140,309.4,0
1461,43.7,142,309.4,0
1559,36.9,145,309.3,0
1400,48.9,147,309.3,0
1732,28.8,152,309.2,0
1611,33.1,155,309.2,0
1503,38.9,157,309.1,0
1391,44.5,159,309.2,0
2015,20.1,161,309.3,0
1683,30.9,163,309.2,0
1435,38.8,165,309.1,0
1732,28.1,167,309.1,0
1365,58.6,170,309.2,0
1562,36.8,172,309.1,0
1449,49.1,174,309.1,0
1700,27.4,176,309.2,0
1427,45.6,179,309,0
1479,38.1,182,308.9,0
1469,44,185,308.9,0
1390,47.4,187,308.9,0
1729,28.1,189,308.9,0
1470,43.5,191,309,0
1459,48.5,193,308.9,0
1738,24,195,308.9,0
1471,37.7,197,308.9,0
1822,25.4,202,309,0
1554,34.8,204,308.9,0
1433,43.2,206,308.9,0
1449,47.7,209,308.9,0
1456,41.2,0,309,0
1424,45.5,2,309.1,0
1577,34.7,5,309.2,0
1478,39.7,10,309.2,0
1295,61.2,12,309.2,0
1372,47.3,15,309.2,0
1432,42.6,17,309.1,0
1656,33.2,20,309,0
1410,48.8,23,309,0
1874,24.4,28,309,0
1538,43.2,30,309,0
1636,29.7,32,309,0
1504,40.4,35,309,0
1531,42.4,38,309,0
1735,26.4,41,309,0
1354,55.6,46,309,0
1413,40.2,51,309,0
1563,39.3,56,309.1,0
1479,42.1,58,309.1,0
1477,38.3,60,309.1,0
1394,50,62,309.1,0
1487,45.4,64,309,0
1815,25.3,66,309,0
1453,39.7,69,308.8,0
1539,40.2,72,308.8,0
1416,39.2,74,308.7,0
1683,31.6,79,308.8,0
1515,40.1,82,308.8,0
1531,48.3,84,308.9,0
1479,40.9,87,308.9,0
1516,33.7,92,308.9,0
1507,38.2,94,309,0
1434,43.3,96,309,0
1838,27.3,99,308.9,0
1416,45.9,101,308.8,0
1357,49.7,104,308.8,0
1697,28.1,107,308.7,0
1443,46.2,110,308.7,0
1453,37.6,112,308.7,0
1439,46.4,114,308.6,0
1609,36.2,116,308.6,0
1324,59.1,118,308.6,0
1420,45.8,120,308.6,0
1545,36.9,125,308.7,0
1477,39,127,308.8,0
1447,58.1,129,308.8,0
1809,23.8,131,308.9,0
1696,30.9,133,308.9,0
1427,44.7,135,308.9,0
1500,46.3,137,308.9,0
1390,44.6,140,308.9,0
1640,34.2,142,308.8,0
1628,37.4,144,308.8,0
1499,37.6,147,308.6,0
1425,50.3,152,308.7,0
1586,37.7,155,308.6,0
1471,50.7,157,308.6,0
1431,53,160,308.6,0
1924,22.1,163,308.6,0
1421,42,165,308.4,0
1305,54.6,168,308.4,0
1557,32.4,173,308.4,0
1555,38.2,175,308.3,0
1474,39.2,177,308.3,0
1506,45.9,182,308.3,0
1390,41.8,184,308.4,0
1450,46.9,186,308.4,0
1513,38.8,189,308.3,0
1643,34.7,191,308.2,0
1361,53.8,193,308.2,0
1450,40.9,195,308.1,0
1451,50.7,197,308,0
1289,62,199,308.1,1
1356,48.3,201,308.1,0
1528,46.3,203,308.1,0
1978,22.3,208,308,0
1535,36.8,210,308,0
1843,24.2,212,308.1,0
1422,48.7,215,308.1,0
1536,40.4,217,308,0
1483,44.3,219,308.1,0
1492,43.7,222,308.1,0
1584,40.4,227,308,0
1555,33.7,229,308.1,0
1497,41.7,231,308,0
1537,36.3,233,307.8,0
1505,39.4,236,307.8,0
1646,34.6,238,307.8,0
1286,60.5,0,307.8,0
1400,47.5,3,307.8,0
1337,56.5,5,307.9,0
1332,53.9,7,308,0
1561,38.3,9,308,0
1546,31.1,11,308,0
1713,29.3,13,308,0
1343,44.5,15,308,0
1391,54.4,17,308,0
1311,58.6,19,308,0
1453,51,24,308,0
1510,39.4,29,308,0
1448,48.8,31,307.9,0
1453,46,33,307.8,0
1468,39.2,35,307.8,0
1382,47.5,37,307.8,0
1580,32.2,39,308,0
1666,29.8,41,308,0
1409,50.7,43,308,0
1675,29.7,46,308,0
1698,30.8,48,307.9,0
1579,33.4,50,307.9,0
1743,27.9,55,307.9,0
1497,44.8,57,308,0
1741,28.8,60,308.1,0
1435,45.3,62,308.1,0
1440,46.3,64,308.1,0
1641,33.3,67,308,0
1420,45.4,70,307.9,0
1611,35.4,72,307.9,0
1373,42.9,74,307.8,0
1683,31.8,76,307.9,0
1547,32.6,79,307.9,0
1605,37,84,307.8,0
2010,18.9,86,307.9,0
1565,40.1,89,307.7,0
1828,24.6,91,307.8,0
1579,34.1,94,307.8,0
1882,24.2,97,307.9,0
1285,52.1,100,307.8,0
1571,35,102,307.8,0
1549,37.8,104,307.8,0
1544,37.6,109,307.8,0
1412,47.4,112,307.9,0
1422,53,115,307.9,0
1867,22.8,118,307.7,0
1424,43.3,120,307.7,0
1452,45.7,122,307.6,0
1550,39.7,124,307.7,0
1588,37.6,126,307.6,0
1338,44.4,128,307.6,0
1513,40,130,307.6,0
1470,45.9,132,307.5,0
1516,36.7,135,307.5,0
1434,48.3,138,307.6,0
1368,52,140,307.6,0
1304,48.7,142,307.6,0
1398,46.7,144,307.6,0
1516,37.4,146,307.6,0
1474,41.7,148,307.6,0
1547,34.7,150,307.6,0
1482,39.9,153,307.5,0
1436,42.8,156,307.4,0
1474,40,158,307.3,0
1481,38.2,160,307.2,0
1501,42.1,162,307.3,0
1566,37.2,164,307.3,0
1579,34.5,166,307.3,0
1631,35,168,307.4,0
1544,42.3,170,307.4,0
1521,38.6,173,307.4,0
1616,28,175,307.4,0
1333,50.2,177,307.4,0
1533,32.5,182,307.4,0
1368,45.1,185,307.4,0
1465,47.8,187,307.4,0
1406,41.5,189,307.4,0
1565,43.5,194,307.4,0
1582,37.9,197,307.5,0
1439,45.5,199,307.5,0
1566,35,201,307.5,0
1485,42.7,204,307.5,0
1566,35.1,206,307.5,0
1439,41.5,208,307.3,0
1416,50,210,307.4,0
2833,5.6,213,307.4,1
1465,47.1,215,307.4,0
1586,35.5,0,307.4,0
1567,31.4,5,307.3,0
1389,48.6,7,307.2,0
1368,49.5,10,307.3,0
1444,49,13,307.3,0
1498,41.6,15,307.3,0
1615,30.8,18,307.2,0
1898,22.7,20,307.1,0
1350,53.3,22,307.1,0
1516,37.6,25,307,0
1542,40.6,28,307,0
1541,32.6,33,306.9,0
1951,23.3,38,306.9,0
1645,31,41,306.8,0
1416,44.2,46,306.7,0
2044,22.3,48,306.7,0
1414,50.2,51,306.6,0
1678,26.7,53,306.6,0
1594,33.2,55,306.5,0
1514,37.7,60,306.5,0
1358,49.2,63,306.5,0
1325,56.2,65,306.4,0
1339,53.2,67,306.4,0
1335,51.7,69,306.4,0
1892,21.7,72,306.4,0
1575,28.5,74,306.4,0
1444,45.5,76,306.3,0
1915,22.4,79,306.3,0
1584,33.6,81,306.2,0
1685,34.9,84,306.3,0
1337,54.6,87,306.3,0
1235,76.2,89,306.3,1
1464,46.2,92,306.2,0
1739,25.9,94,306.2,0
1490,34.3,97,306.3,0
1356,48,99,306.4,0
1397,52,101,306.2,0
1458,40.6,103,306.2,0
2161,16.5,105,306.2,0
1651,28.1,110,306.1,0
1389,46.2,113,306.1,0
1370,52.4,115,306,0
1408,47.9,117,306.1,0
1343,54.4,119,306.1,0
1423,42.5,121,306.2,0
1426,48.6,124,306.2,0
1435,51.6,126,306.2,0
1573,35.1,129,306.1,0
1612,31.2,131,306.2,0
1446,49.9,133,306.2,0
1329,55.3,135,306.2,0
1569,35.1,140,306.2,0
1256,62.3,142,306.1,0
1383,48.7,147,306.1,0
2270,14.6,149,306.2,1
1458,49.8,151,306.2,0
1474,41.2,156,306.1,0
1462,49.2,158,306.1,0
1669,29,161,306.1,0
1822,24.3,164,306.1,0
1456,39.2,167,306,0
1546,35.9,169,306,0
1490,42.7,171,306.1,0
1569,40.4,174,306,0
1621,29.5,176,306,0
1518,40.6,178,305.9,0
1526,38.2,181,305.8,0
1589,36.2,184,305.8,0
1475,51,187,305.7,0
1473,38.5,189,305.7,0
1407,50.7,192,305.8,0
1518,44.1,194,305.9,0
1593,37.2,197,305.9,0
1380,52.4,202,305.9,0
1423,45.3,205,306,0
1800,27.6,208,306,0
1623,30.9,210,306.1,0
1372,55.6,215,306.1,1
1396,52.4,0,306,0
1949,21.9,5,306,0
1419,51.1,7,306,0
1453,47.3,9,305.9,0
1542,36.2,12,305.9,0
1363,50,14,306,0
1597,37.2,16,306,0
1326,50.8,18,306,0
1641,36.6,21,306,0
1418,46.2,24,306.1,0
1263,61.8,27,306.2,0
1823,25.8,29,306.2,0
1488,40.7,31,306.1,0
1443,48.9,33,306.2,0
1650,28.2,35,306.2,0
1462,44.3,37,306.3,0
1477,45,40,306.2,0
1712,28.5,43,306.3,0
1347,50.4,46,306.3,0
1287,54.8,49,306.2,0
1428,44.5,51,306.2,0
1426,45.5,53,306.3,0
1636,32.7,56,306.3,0
1424,42.5,58,306.2,0
1509,35.8,60,306.3,0
1448,48.9,65,306.2,0
1650,32.8,67,306.1,0
1414,42.5,69,306.2,0
1911,20.9,74,306.3,0
